departement;cp;commune;nb_redevables;patrimoine_moyen;impot_moyen
VAR                           ;83061;FREJUS                                            ;347;2212585;8473
HAUTS-DE-SEINE                ;92026;COURBEVOIE                                        ;919;2202398;7993
EURE                          ;27229;EVREUX                                            ;150;2200063;8008
ALPES-MARITIMES               ;6123;SAINT LAURENT DU VAR                              ;182;2198427;8619
SAONE-ET-LOIRE                ;71076;CHALON SUR SAONE                                  ;129;2196780;7885
DROME                         ;26281;ROMANS                                            ;100;2196477;7787
GIRONDE                       ;33522;TALENCE                                           ;156;2192805;8565
SEINE-SAINT-DENIS             ;93046;LIVRY GARGAN                                      ;92;2190123;8823
NORD                          ;59599;TOURCOING                                         ;124;2185409;7840
HAUTS-DE-SEINE                ;92024;CLICHY                                            ;101;2185195;8596
CHER                          ;18033;BOURGES                                           ;231;2184048;8149
LA REUNION                    ;97422;TAMPON                                            ;134;2181735;8193
SEINE-SAINT-DENIS             ;93053;NOISY LE SEC                                      ;67;2180929;8621
VAL-D'OISE                    ;95176;CORMEILLES EN PARISIS                             ;118;2179313;8202
ALPES-MARITIMES               ;6027;CAGNES SUR MER                                    ;352;2175750;8496
VAL-DE-MARNE                  ;94016;CACHAN                                            ;137;2174050;7543
JURA                          ;39198;DOLE                                              ;56;2172150;5720
NORD                          ;59279;HALLUIN                                           ;56;2168251;7964
ESSONNE                       ;91549;STE GENEVIEVE DES BOIS                            ;127;2166355;8356
MAINE-ET-LOIRE                ;49328;SAUMUR                                            ;109;2163270;6645
NORD                          ;59606;VALENCIENNES                                      ;175;2161678;7839
LOT-ET-GARONNE                ;47323;VILLENEUVE SUR LOT                                ;71;2161345;7681
VAUCLUSE                      ;84035;CAVAILLON                                         ;89;2159770;7291
HAUTS-DE-SEINE                ;92002;ANTONY                                            ;718;2154364;7816
CHARENTE-MARITIME             ;17415;SAINTES                                           ;89;2153325;8068
VAUCLUSE                      ;84087;ORANGE                                            ;88;2150373;7600
VAL-DE-MARNE                  ;94046;MAISONS ALFORT                                    ;268;2150112;8239
HAUTS-DE-SEINE                ;92020;CHATILLON                                         ;210;2147918;8034
HERAULT                       ;34003;AGDE                                              ;156;2142366;7711
VAL-D'OISE                    ;95607;TAVERNY                                           ;90;2138290;7589
VAR                           ;83050;DRAGUIGNAN                                        ;205;2137929;8318
SEINE-SAINT-DENIS             ;93032;GAGNY                                             ;107;2136546;6584
SEINE-SAINT-DENIS             ;93064;ROSNY SOUS BOIS                                   ;91;2132348;8100
CHARENTE-MARITIME             ;17299;ROCHEFORT                                         ;52;2129962;7516
GARD                          ;30007;ALES                                              ;109;2129810;6427
SEINE-SAINT-DENIS             ;93029;DRANCY                                            ;84;2129356;7629
VAR                           ;83129;SIX-FOURS-LES-PLAGES                              ;241;2128700;7580
SEINE-MARITIME                ;76217;DIEPPE                                            ;91;2128017;7754
ARDENNES                      ;8105;CHARLEVILLE MEZIERES                              ;123;2125050;6791
SEINE-SAINT-DENIS             ;93070;SAINT OUEN                                        ;58;2121111;8441
HAUTE-SAVOIE                  ;74012;ANNEMASSE                                         ;99;2120740;7276
HAUTS-DE-SEINE                ;92060;LE PLESSIS ROBINSON                               ;166;2110486;7781
LANDES                        ;40192;MONT-DE-MARSAN                                    ;95;2108570;7369
RHONE                         ;69149;OULLINS                                           ;55;2108535;6873
RHONE                         ;69266;VILLEURBANNE                                      ;245;2096534;7284
LOT                           ;46042;CAHORS                                            ;67;2094522;7794
SEINE-SAINT-DENIS             ;93055;PANTIN                                            ;76;2092167;7304
YVELINES                      ;78498;POISSY                                            ;141;2088347;7739
EURE                          ;27681;VERNON                                            ;88;2080486;7841
BAS-RHIN                      ;67218;ILLKIRCH GRAFFENSTADEN                            ;95;2073082;7990
VAL-DE-MARNE                  ;94038;L'HAY LES ROSES                                   ;195;2071082;6751
COTES-D'ARMOR                 ;22113;LANNION                                           ;76;2069806;8125
BOUCHES-DU-RHONE              ;13054;MARIGNANE                                         ;61;2068040;6588
SEINE-ET-MARNE                ;77373;PONTAULT COMBAULT                                 ;71;2065573;7822
LOIRE-ATLANTIQUE              ;44143;REZE                                              ;69;2065503;6411
LA REUNION                    ;97408;LA POSSESSION                                     ;68;2065253;6231
ESSONNE                       ;91589;SAVIGNY SUR ORGE                                  ;121;2060317;6994
DORDOGNE                      ;24037;BERGERAC                                          ;105;2058258;7580
VAL-D'OISE                    ;95127;CERGY                                             ;64;2054702;7251
